True_Equation,Predict_Equation,MSE,R^2,Relative Error
x_1*x_2*sqrt(cos(x_1))+x_1,x_1*x_2*sqrt(cos(x_1)) + x_1,1.16E-11,1,1.30E-07
x_1*x_2*sqrt(cos(x_1))+x_1,x_1*x_2*sqrt(cos(x_1)) + 1.0000000269281*x_1 + 6.17756362817495e-8,1.47E-11,1,5.44E-07
#NAME?,#NAME?,4.90E-12,1,2.73E-07
#NAME?,#NAME?,3.35E-13,1,6.14E-08
#NAME?,-x_1 + 0.151000012093765*x_2 + 1.98800001277452 + 1.11938787976647e-7*sin(x_1**2)/x_1,6.21E-14,1,6.51E-08
#NAME?,-x_1 - 1.26200017372512 + (8.6316399499969e-9*x_1*x_2 + x_2**2)/x_2,1.17E-13,1,1.14E-07
#NAME?,#NAME?,2.18E-13,1,1.61E-07
#NAME?,#NAME?,6.29E-14,1,1.30E-06
#NAME?,#NAME?,2.90E-13,1,9.86E-08
#NAME?,#NAME?,8.93E-14,1,1.50E-07
#NAME?,#NAME?,6.89E-14,1,5.82E-08
1.501*x_1+x_2-1.735,0.500999990525026*x_1 + x_2*(1 + (x_1 - 1.8656802025646)/x_2) + 0.130680217172237,2.51E-13,1,8.51E-08
#NAME?,#NAME?,7.26E-14,1,1.03E-07
x_1/x_2**3,x_1/(x_2*(x_2**2 + 1.6485399069826e-9*(0.0487538369868047*x_2 - 1)**2)),1.49E-10,1,8.82E-07
(x_1+1.235)/x_2**4.974,(x_1 + 3.43032411946871 - (15.563360357982*x_2 - 0.0792326877664636)/(sqrt(x_2) - 2.15700477279369*x_2))/x_2**3,8488.106445,0.999845922,286.5392761
(x_1+0.417)/x_2**3.422,(x_1 - 0.621833858719461)/(x_2**2.4384463495561*(x_2 - x_2/(x_1 + 1.1774639246198))),0.063364685,1,0.821037471
x_1/x_2**0.933,x_1/(x_2 + sin(1.06126630438057e-7*x_2))**0.933000028905033,9.83E-14,1,1.33E-07
x_1/x_2**3,x_1/x_2**3,1.07E-08,1,4.67E-07
x_1/x_2**3,(x_1 + cos(2366.06215051175*x_2)**2/(x_1 - 7.11555505460458))/x_2**3,1.598574996,0.99999994,0.081197664
x_1/x_2**3,(x_1 - 5.2932780654491e-7)/x_2**3,1.53E-10,1,2.29E-07
1.571*x_1/x_2**3,1.57099995578948*x_1/x_2**3,2.98E-09,1,3.34E-07
x_1/(x_2-0.823)**3,x_1/(x_2 - 0.823000021017337)**3,9.69E-09,1,5.28E-07
1.01227232546476*x_1+2*x_2/x_1,x_1 - (-1.99999997805062*x_2 - 0.0122723320724573*(x_1 - 3.09230230350897e-6)**2)/x_1,3.23E-13,1,6.71E-08
2*x_1+1.804*x_2/(x_1-1.84),2*x_1 + (-5.65787322869314e-6*x_1 + 1.80399834008103*x_2)/(x_1 - 1.840000067515),1.36E-09,1,4.16E-06
2*x_1+2*x_2/x_1,2*x_1 - 4.62079226548617e-8 + 2*x_2/x_1,5.32E-13,1,4.47E-08
2*x_1+2*x_2/x_1,1.9999999811758*x_1 - 7.67524953565331e-9*x_2 + 1.02725896953982e-7 + 2.00000001041399*x_2/x_1,3.48E-13,1,3.57E-08
6.351048*x_1+2*x_2/x_1,2*x_1 + (2.00000008956716*x_2 + 4.35104795087481*(x_1 - 3.94812975029991e-8)**2)/x_1,3.94E-12,1,3.62E-08
0.308898*x_1+2*x_2/x_1,0.308898004256277*x_1 - 0.396537622177778 + (0.396537602926222*x_1 + 2*x_2)/x_1,6.95E-14,1,4.34E-07
0.892448*x_1+2*x_2/(x_1+0.686),0.892448047826343*x_1 + 1.99999897734619*x_2/(x_1 + 0.685999991347701),3.29E-10,1,6.21E-07
2*x_1+3.61*x_2/x_1,1.53229080118417*x_1 - (-0.467709170283579*x_1**2 - 3.60999997104858*x_2)/x_1,5.14E-13,1,1.97E-07
0.227138*x_1+2.294*x_2/(x_1+1.59),0.22713752785753*x_1 + 2.29400074060375*x_2/(x_1 + 1.59000000642762),1.21E-10,1,7.43E-06
2*x_1-1.784*x_2/x_1,1.99999998680851*x_1 - (1.46774262353821e-7*x_1 + 1.78400006863617*x_2 - 3.11541783169187e-7)/x_1,3.73E-13,1,5.28E-08
x_1*cos(1.93*x_2-cos(2*x_2)),x_1*cos(1.92999999854923*x_2 + cos(2*x_2 - 3.14159270020883)),8.07E-12,1,2.62E-06
x_1*cos(0.106*x_2+cos(0.138*x_2)-0.118932),(x_1 + 5.38211228334029e-5)/(cos(0.233603713540797*x_2 - 1.96525063481374) + 1.98543918828392),0.023969982,0.998445928,0.039157044
x_1*(cos(0.381*x_2-cos(2*x_2)+0.653034)+1.75),x_1*(cos(0.380999985196409*x_2 - cos(2*x_2) + 0.653034024268964) + 1.74999997083943),7.51E-13,1,7.74E-08
1.279161*x_1*cos(x_2+cos(2*x_2)),1.11177024098971*x_1*cos(x_2 - sin(tan(x_2 - 1.69007051756794) + 2.23017762918959)),1.205907464,0.956800342,0.261120647
x_1*cos(x_2+cos(2*x_2)),x_1*cos(0.999999987584562*x_2 - cos(2*x_2 - 3.14159273982739)),1.31E-12,1,3.56E-07
x_1*(cos(x_2+cos(2.746*x_2))+1.701),x_1*(cos(x_2 + cos(2.74600000584178*x_2)) + 1.70099999501585),3.71E-12,1,1.71E-07
0.682276*x_1*cos(x_2+cos(2*x_2)),0.516281879224335*x_1*cos(-x_2 + tan(x_2 - 1.07253382387863) + 1.62722758683961),1.971116662,0.760422945,0.421335608
x_1*cos(x_2+cos(2*x_2)),x_1*cos((x_2 - 0.524103030036454)*cos(6.8905476891828e-9*x_2 - 5.57683185021084e-8)),3.721422672,0.803102255,0.51310885
x_1*cos(1.66*x_2+cos(2*x_2)),x_1*cos(1.66000001086306*x_2 - cos(2*x_2 + 3.1415926345851)),5.19E-12,1,7.03E-07
x_1*cos(x_2+cos(2*x_2)),x_1*cos(x_2 + cos(2*x_2 + 2.7404535030774e-8) - 6.41514212145697e-8),1.06E-12,1,5.74E-07
x_1*tan(1.678*(x_1+1.656)/x_2),(0.451100082059049*x_1 + 1.51558710819119)/((x_1 + x_2 + 1.97329521796129)*sin(x_1)),356.5331726,0.753636241,26.85869598
#NAME?,#NAME?,2421.438477,0.885789931,0.936759055
#NAME?,(-1.2280003787664*x_1 - 1.52762265122395)*tan((x_1 + 0.698999792329501)/x_2),1.23E-09,1,1.51E-05
x_1*tan(x_1/x_2),(1.00000035796032*x_1 + 5.16079617670966e-6)*tan(0.999999977660768*x_1/x_2),6.04E-10,1,4.94E-06
x_1*tan((x_1-0.227)/x_2),(0.999999685610652*x_1 - 6.90896363162234e-6)*tan((x_1 - 0.226999885150574)/x_2),1.63E-08,1,3.96E-06
(x_1+0.829)*tan(0.724*(x_1+0.547)/x_2),(x_1 + 0.828992617410835)*tan((0.723999993442061*x_1 + 0.396027926924272)/x_2),1.15E-07,1,4.47E-06
#NAME?,(1.1640832387152 - x_1)*tan((0.510999978143662*x_1 - 3.88192955414746e-7)/x_2),5.06E-08,1,5.24E-05
#NAME?,(-1.25900173016846*x_1 - 0.770509568118883)*tan((x_1 + 0.639999959451993)/x_2),1.70E-07,1,7.39E-06
#NAME?,(-0.917516126960366*x_1 - 0.462301022702707)*tan(0.855117376362408*x_1/x_2),3.216641188,0.994861841,0.33107993
#NAME?,-0.0687335116596934*(x_1 - 0.538315735438445)**2/((0.60420653896263*x_1 + x_2)*tan(x_1)),539.1725464,0.583375216,1.607663155
x_1**2*log(x_1-x_2)/x_2,x_1**2*log(x_1 - x_2 - 2.15346941974445e-7)/x_2,2.33E-11,1,1.98E-07
log(x_1-x_2)/(x_1**0.1578*x_2),log(x_1 - x_2)/(x_1**0.157800008530415*x_2),1.26E-14,1,7.22E-07
x_1**2*log(x_1-x_2)/(x_2-1.667),0.99999997217702*x_1**2*log(x_1 - x_2)/(x_2 - 1.66700000047218),8.90E-12,1,1.55E-07
x_1**2*log(x_1-x_2)/x_2,0.999999788013742*x_1**2*log(x_1 - x_2 + 2.06333392934601e-6)/x_2,3.21E-10,1,1.56E-06
log(x_1-x_2)/(x_1**0.664*(x_2+1.72)),log((-3.61515846748652*sqrt(x_1) + 2.23033536539962*x_1 + 6.28383393525638)/x_1)/(x_2 + 1.72032471268742),0.010115158,0.999767363,2.344095469
2.33113035117397*x_1**2*log(x_1-x_2)/x_2,x_1**2*log((x_1 - x_2)**2.33113045987072)/x_2,4.35E-11,1,2.22E-06
x_1**2*log(x_1-x_2)/x_2,0.999999932281799*x_1*(x_1 + 5.85771113016866e-7)*log(x_1 - x_2)/x_2,1.73E-11,1,1.86E-06
x_1**2*log(x_1-x_2)/x_2,x_1*(x_1 - 2.81261953648151e-7*x_2)*log(x_1 - x_2 - 5.67865519934129e-7)/x_2,3.91E-10,1,1.05E-06
x_1**1.096*log(x_1-0.031*x_2-0.028396)/x_2,0.99135847916842*x_1**1.09936611598599*log(x_1)/x_2,0.002723831,0.999992847,0.140727192
x_1**2*log(x_1-x_2)/x_2,x_1**2*log(x_1 - x_2)/(x_2 - 5.78294465045389e-10),2.62E-11,1,4.58E-07
#NAME?,log((x_1 + exp(x_1))**(-1.95999998432549)),2.93E-13,1,4.78E-08
log(x_1+exp(x_1)),log(x_1 + exp(x_1)),7.15E-14,1,3.48E-08
log(x_1+exp(x_1)),log(x_1 + exp(x_1)),5.22E-14,1,2.93E-08
log(x_1+exp(x_1)),log(x_1 + exp(x_1)),5.60E-14,1,1.99E-08
log(x_1+exp(x_1)),log(x_1 + exp(x_1)),7.51E-14,1,3.06E-08
log(x_1+exp(-0.624*x_1)),log(x_1 + exp(-0.623999990092704*x_1)),3.16E-14,1,2.91E-07
1.21*log(x_1+exp(x_1)+1.09),x_1 - 376.223588122969/(0.755124821244105*x_1 + 1)**0.00126048601091879 + 376.834225763503,0.058515444,0.996279597,0.117829219
log(x_1+exp(0.879*x_1)-0.916),x_1 + (-3.64000930262313*x_1 + 4.64971737129369*log(x_1))/(x_1 + 5.77507153484165) + 0.442200983483397,7.14E-05,0.999989748,0.00868983
1.003*log(x_1+exp(x_1)),log(1.00738781794026*x_1 + exp(1.00302642382946*x_1) + 0.00141256110137276),1.75E-07,1,0.000840477
log(x_1+exp(x_1)),log(x_1 + exp(x_1)),1.00E-13,1,4.22E-08
x_2*sin(1.0968135666557*sqrt(x_1)+x_1**2),x_2*sin(1.09681353826848*sqrt(x_1) + x_1**2),6.65E-11,1,4.37E-06
3.759721*x_2*sin(sqrt(x_1)+x_1**2),3.75972113638597*x_2*(sin(sqrt(x_1) + x_1**2) + 3.90026474183379e-7),1.96E-09,1,3.78E-06
(x_2-0.377)*sin(x_1**2+1.25618469979538*sqrt(0.633713561470215*x_1+1)),(x_2 - 0.377000714384955)*cos(x_1**2 + 1.25618765631184*sqrt(0.633711972340759*x_1 + 1) - 1.57079967058035),6.68E-11,1,4.50E-06
x_2*sin(sqrt(x_1)+x_1**2),x_2*sin(1.00000047126408*x_1**0.49999959381993 + x_1**2),1.60E-10,1,3.63E-06
1.545049*x_2*sin(x_1**2+1.15758369027902*sqrt(0.746268656716418*x_1+1)),1.56312939623671*x_2*sin(1.88986192908885*exp(-0.168848578124076*(x_1 + 0.506494478148968)**5)),27.46436501,0.40837127,0.792917848
x_2*(sin(sqrt(x_1)+x_1**2)+1.902),x_2*(sin(sqrt(x_1) + x_1**2) + 1.90200013130191),1.53E-10,1,7.91E-07
x_2*sin(x_1**(-0.902088)+x_1**2),(x_2 + 0.0298226414246844)*cos(16.7991638313362*(-0.896131544227503*x_1**0.0695304073690216 - 0.236923626589385*x_1 + 1)**2),0.401783526,0.973726571,0.486448526
0.037249*x_2*sin(sqrt(x_1)+x_1**2),0.0372490126675608*x_2*sin(sqrt(x_1) + x_1**2),3.19E-13,1,3.23E-06
x_2*sin(sqrt(x_1)+x_1**2),(x_2 - 1.6287793405713e-6)*sin(1.00000079480581*x_1**0.499999336951779 + x_1**2),2.13E-10,1,1.18E-05
(x_2-0.415)*sin(sqrt(x_1)+x_1**2),(x_2 - 0.415000547344753)*sin(sqrt(x_1) + x_1**2),1.78E-10,1,1.37E-05
log(x_1)**2/x_2,1.56651902998129*log(x_1**(-0.798973087392892))**2/x_2,2.61E-14,1,1.36E-07
1.63788059558293*log(x_1)**2/x_2,1.63788056246769*log(x_1)**2/x_2,1.51E-10,1,1.05E-07
log(x_1)**2/x_2,1.03819159112603*log(x_1**0.98143433556453)**2/x_2,1.05E-14,1,1.08E-06
3.24675324675325*log(x_1-1.361)**2/x_2,3.24675306027952*log(x_1 - 1.36099998728868)**2/x_2,3.36E-13,1,5.36E-07
log(-1.286*x_1-0.889912)**2/x_2,(x_1 + log(-4.03941976482447*x_1 - 2.06680452738355))/(-x_2 - 0.663922384281463*x_2/x_1),0.074806586,0.999398768,0.685599983
log(x_1-0.458)**2/x_2,log(x_1 - 0.457999893172376)**2/x_2,7.44E-13,1,7.69E-07
1.04384133611691*log(x_1)**2/x_2,2.02571927619059*log(x_1**(-0.717839932158024))**2/x_2,6.21E-13,1,6.77E-07
log(x_1)**2/x_2,0.370019343447433*log(x_1**1.6439468911579)**2/x_2,2.06E-13,1,1.01E-07
2.78551532033426*log(-0.448*x_1)**2/(x_2+1.444),2.78551236530515*(-log(-0.349965314071824*x_1) - 0.246959685220666)**2/(x_2 + 1.4439999994844),1.98E-12,1,2.18E-06
log(x_1)**2/x_2,0.353872816847527*log(x_1**(-1.68103356412124))**2/x_2,6.02E-13,1,1.34E-07
-0.871*x_2*(x_1+0.508*x_2)**4,2.01181565416343*(-0.828767509912307*x_1 - x_2)**4*(-sin(0.308909473436237*x_2) - 0.131481186353421),31026844,0.936139941,75.45413208
x_2*(x_1-0.462*x_2-0.571494)**4,44.4381859545653*x_2*(-0.196596461564656*x_1 + 0.322644392001449*x_2 + sin(0.520017800798577*x_2))**4,27827052,0.928274453,3684253.5
(x_2-1.951)*(x_1-0.084*x_2-0.095172)**4,(x_1 - 0.0803719480454525*x_2)**4*(0.777883431599971*x_2 - 1.27606261973875),11385855,0.969072104,0.572638929
4.30982670327416*x_2*(0.771010023130301*x_1+x_2+0.942)**4,1361.64657573819*x_2*((x_1 + 0.976086473612323*x_2 + 0.884029196936508)**2)**0.31663784222525,189002096,0.820924819,13157.11914
x_2*(x_1+x_2)**4,35.9111999223896*(-0.283771002171865*x_1 - x_2)**4/x_2,206044880,0.748271048,47642.80469
x_2*(x_1+x_2)**4,2491.7648206462*x_1 + 3403.29375879866*x_2*(0.00339484761389941*x_1 + 0.00339484761389941*x_2 + 1)**4 - 2775.96032101425,126523688,0.832943439,1968064.75
1.448*(x_1+x_2)**4*(x_2-0.701),21.5051042724887*(x_1 + x_2)**3*(-0.00755086078112345*x_2 - 1)**2,143811312,0.803412259,3.078728437
x_2*(x_1+x_2)**4,367.376557426993*x_2*(0.0801581407582662*x_1 + 0.0801581407582662*x_2 + 1)**4 - 2781.9952424688*(0.0688311099711309*x_1 + 0.0766050364673974*x_2 - 1)**4,106606600,0.84095937,8532531
x_2*(x_1+x_2)**4,183.486167251024*x_2*(-0.295844700142226*x_1 + 0.00743381143478585*x_2**3 - x_2)**2,120413080,0.864253223,817554.3125
(x_2-1.852)*(x_1+0.207*x_2+0.134343)**4,(2.48392412871892*x_1 + 29.3585373853588)*(0.218880190687567*x_2 + (0.467846332343823*x_1 - 1)**2)**2*(x_2 - 2.29488645686842),25261896,0.888001025,9574.876953
(x_1+1.322)/(-1.774*x_1+x_2**2-3.15772),(1.39758790745831*x_1 + 0.815284860872878)/(-2*x_1 + x_2**2 - 2.69950517477193),0.038984612,0.96207726,0.660297692
-1.102*x_1/(1.284*x_1+x_2**2-0.296604),(-1.05129665138399*x_1 - 0.0793176827305881)/(1.35195560152289*x_1 + x_2**2),0.010169829,0.998480797,0.096460208
x_1/(-x_1+x_2**2),-0.999999469417132*x_1/(x_1 - x_2**2 + 2.00280017150949e-7),1.23E-11,1,6.85E-07
x_1/(-x_1+x_2**2),-1.00000036623245*x_1/(0.999999938748616*x_1 - x_2**2 + 2.92225098906026e-7),1.27E-13,1,3.87E-07
x_1/(-x_1+x_2**2),-0.999998727757209*x_1/(x_1 - x_2**2 + 1.19228734879818e-7),3.82E-11,1,1.24E-06
-1.921*x_1/(-x_1+x_2**2+0.149),1.9209997672627*x_1/(0.999999906130925*x_1 - x_2**2 - 0.148999397477696),3.31E-13,1,1.37E-07
-0.903*x_1/(-x_1+x_2**2),-0.902999989136376*x_1/(-1.00000011197887*x_1 + x_2**2),8.08E-15,1,1.09E-07
x_1/(-x_1+x_2**2-0.791),0.999999343212558*x_1/(-x_1 + x_2**2 - 0.79100027620558),1.68E-12,1,6.30E-07
(x_1-0.827)/(-x_1+x_2**2),(1.00000004914757*x_1 - 0.8269999888089)/(-x_1 + x_2**2 + 1.8983368798564e-7),1.60E-14,1,1.14E-07
1.046*(x_1-0.305)/(1.857*x_1+x_2**2),(1.04599938803328*x_1 - 0.319030983216573)/(1.85699993214317*x_1 + x_2**2),4.27E-13,1,1.19E-06
#NAME?,#NAME?,8.86E-16,1,5.74E-08
x_1*log(x_1*x_2),x_1*(log(2.15128445444057*x_1*x_2) - 0.766065080514819),8.76E-13,1,4.87E-08
x_1*log(x_1*x_2),x_1*log(0.189253570150238*x_1*x_2) + 1.66466749672392*x_1,9.89E-13,1,7.95E-08
x_1*log(1.18*x_2*(x_1+0.692)),x_1*(0.00114311421780656*x_1 + log(x_2*(x_1 + 0.587540683712251))),0.899207711,0.997805774,1.570121884
x_1*log(x_1*x_2),#NAME?,1.21E-12,1,2.10E-07
(x_1-0.317)*log(-1.841*x_2*(x_1+1.047)),(1.00269545683324*x_1 - 0.30644206154607)*log(-1.81630843926969*x_2*(x_1 + 1)),0.003817187,0.999992192,0.039485522
x_1*log(x_2*(x_1-0.877)),x_1*(-1.20340061763361e-8*x_1 + 1.00000000418752*log(x_2*(x_1 - 0.876999934169801))),1.67E-12,1,1.10E-07
x_1*log(x_1*x_2),x_1*log(0.367879458092525*x_1*x_2) + x_1,8.70E-13,1,2.31E-07
#NAME?,(-1.63500004107606*x_1 - 1.0235099479116)*(sqrt(x_2)*(x_1 + 0.622999939806639) + 2*x_2),2.93E-10,1,1.34E-07
#NAME?,(1.0796800329351 - 1.1200000196475*x_1)*(sqrt(x_2)*(x_1 + 1.5010000753447) + 2*x_2),1.06E-10,1,1.25E-07
x_1*(x_1*sqrt(x_2)+2*x_2),1.00000000903359*x_1*(x_1*sqrt(x_2) + 2*x_2) - 1.31638421576305e-8*x_1,8.82E-11,1,1.54E-07
1.078*x_1*(-0.032*sqrt(x_2)*(x_1+1.274)+2*x_2),2.14588335013347*x_1*x_2 - 1.03701386472334*x_2**0.546776988296155,4.746966839,0.99918133,0.414487243
#NAME?,-1.74066188532783*x_1*(-x_2 + 1.50337515163296*(-0.0134025243676107*x_1 - sqrt(x_2))**2),0.009222452,0.999988496,0.017512241
0.107*x_1*(sqrt(x_2)*(x_1-0.553)+2*x_2),0.213999926475441*x_1*(0.50000015579953*sqrt(x_2)*(x_1 - 0.552998351461492) + x_2),1.11E-12,1,2.13E-07
0.387*x_1*(-1.031*sqrt(x_2)*(x_1-0.394)+2*x_2),0.773999504126448*x_1*(-0.515500340013955*sqrt(x_2)*(x_1 - 0.394002577184046) + x_2),6.32E-11,1,1.08E-06
x_1*(x_1*sqrt(x_2)+2*x_2),x_1*(x_1*sqrt(x_2) + 2*x_2),1.35E-10,1,1.17E-07
0.174*(x_1+0.28)*(x_1*sqrt(x_2)+2*x_2),(0.173999998210884*x_1 + 0.0487200297687946)*(x_1*sqrt(x_2) + 2*x_2),5.23E-12,1,2.18E-07
(x_1-1.965)*(0.623*sqrt(x_2)*(x_1+0.834)+2*x_2),2.18583145708777*sqrt(x_2)*(0.281013372150777*x_1 + sqrt(x_2))*(x_1 - 1.93813500109329),1.69721508,0.999469697,0.06655784
#NAME?,0.806871533059638/x_1**0.499999985502925 - 0.50271900415914*x_1,1.94E-14,1,5.78E-08
x_1+1/sqrt(x_1),x_1 + 1/sqrt(x_1),7.03E-14,1,2.00E-08
x_1-1.53+0.817860820109531/sqrt(0.668896321070234*x_1+1),x_1 - 1.52999905558249 + 0.817860104759298/sqrt(0.668896312124054*x_1 + 1),4.97E-13,1,1.28E-06
x_1+0.868089570630547/sqrt(-x_1),x_1 + (-8.81655904237678e-8*x_1 - 0.868089625711742*sqrt(-x_1))/x_1,3.98E-14,1,3.26E-08
-1.401*x_1+x_1**1.405+0.61644,-1.40099907807268*x_1 + x_1**1.40499985526187 + 0.616438885423964,1.08E-12,1,4.68E-07
#NAME?,#NAME?,1.67E-13,1,1.19E-07
x_1+0.734025274393379/sqrt(-x_1),x_1 - 3.73482563415366e-8 + 0.734025305076652/sqrt(-x_1),6.85E-14,1,5.60E-08
0.39*x_1+0.50739+0.874706202725497/sqrt(0.765110941086458*x_1-1),0.402190737493063*x_1 + 1.3148190805689*((0.730605963183585*x_1 - 1)**(-1.27604852938972))**(1/4),1.76E-05,0.999971807,0.00103926
2.823975-1.793*x_1,2.82397500704346 - 1.79299999035401*x_1,2.07E-13,1,8.16E-08
x_1-1.927,x_1 - sqrt(2)*(3.88080659231502e-9*x_1 + 1.3398853463575)/2 - 0.979557992575811,3.15E-14,1,3.03E-08
x_1,x_1*exp(x_1/(-x_1 - 1.042510648324e+573*(-x_1 - 3.60160237785087e-192)**2)),0,1,0
0.893*x_1+0.212534,x_1 + (-0.106999995032971*x_1**2 + 0.212533981868915*x_1)/x_1,5.33E-14,1,5.98E-08
#NAME?,#NAME?,2.05E-16,1,5.45E-08
x_1+1.784,x_1 + 0.2663918887198 + (1.42023537375024e-9*x_1**2 + 1.51760807059907*x_1)/x_1,5.91E-14,1,3.90E-08
#NAME?,#NAME?,8.82E-14,1,3.94E-08
x_1+0.088,x_1 + 0.0880000596565277*(6.21566677256192e-7*cos(0.77130379237393*x_1) - 1)**2,5.05E-14,1,5.43E-08
0.822406-1.222*x_1,-1.04324137576056*x_1 + (-0.178758610489691*x_1**2 + 0.822405972697464*x_1)/x_1,7.74E-14,1,8.03E-08
1.576*x_1-2.630344,(1.60521117936694*x_1 - 2.67909744480009)*cos(0.191066394018526*(1.62245526390411e-8*x_1 - 1)**2),1.95E-13,1,3.44E-08
1.096*x_1+x_2+3.291312,1.09599993440453*x_1 + x_2 + 3.29131217462891,2.54E-13,1,1.37E-07
